dbms,table_catalog,table_schema,table_name,column_name,ordinal_position,data_type,character_maximum_length,constraint_type,referenced_schema,referenced_table,referenced_column
redshift,redshift,public,SAS_CUSTOMER_MSTR_VW,household_id,1,bigint,,FOREIGN KEY,public,SAS_HOUSEHOLD_VW,household_id
redshift,redshift,public,SAS_CUSTOMER_MSTR_VW,customer_id,2,bigint,,PRIMARY KEY,,,
redshift,redshift,public,SAS_CUSTOMER_MSTR_VW,mstr_customer_id,3,bigint,,FOREIGN KEY,public,SAS_CUSTOMER_MSTR_VW,customer_id
redshift,redshift,public,SAS_CUSTOMER_MSTR_VW,mstr_household_id,4,bigint,,FOREIGN KEY,public,SAS_HOUSEHOLD_VW,household_id
redshift,redshift,public,SAS_CUSTOMER_MSTR_VW,birth_mmdd,5,integer,,,,,
redshift,redshift,public,SAS_CUSTOMER_MSTR_VW,bu_purchased,6,character varying,240,,,,
redshift,redshift,public,SAS_CUSTOMER_MSTR_VW,channels_purchased,7,character varying,40,,,,
redshift,redshift,public,SAS_CUSTOMER_MSTR_VW,centile_m1,8,smallint,,,,,
redshift,redshift,public,SAS_CUSTOMER_MSTR_VW,centile_m2,9,smallint,,,,,
redshift,redshift,public,SAS_CUSTOMER_MSTR_VW,centile_m3,10,smallint,,,,,
redshift,redshift,public,SAS_CUSTOMER_MSTR_VW,dnm_flag,11,character,4,,,,
redshift,redshift,public,SAS_CUSTOMER_MSTR_VW,lifetime_dollars,12,numeric,,,,,
redshift,redshift,public,SAS_CUSTOMER_MSTR_VW,lifetime_frequency,13,integer,,,,,
redshift,redshift,public,SAS_CUSTOMER_MSTR_VW,lifetime_net,14,numeric,,,,,
redshift,redshift,public,SAS_CUSTOMER_MSTR_VW,original_date,15,character varying,16,,,,
redshift,redshift,public,SAS_CUSTOMER_MSTR_VW,recency_activity_date,16,date,,,,,
redshift,redshift,public,SAS_CUSTOMER_MSTR_VW,recency_purchase_date,17,date,,,,,
redshift,redshift,public,SAS_CUSTOMER_MSTR_VW,sex,18,smallint,,,,,
redshift,redshift,public,SAS_CUSTOMER_MSTR_VW,state,19,character varying,16,,,,
redshift,redshift,public,SAS_CUSTOMER_MSTR_VW,suppress_reasons,20,character varying,80,,,,
redshift,redshift,public,SAS_CUSTOMER_MSTR_VW,zip,21,character,20,,,,
redshift,redshift,public,SAS_CUSTOMER_MSTR_VW,m0_12_net,22,numeric,,,,,
redshift,redshift,public,SAS_CUSTOMER_MSTR_VW,m13_24_net,23,numeric,,,,,
redshift,redshift,public,SAS_CUSTOMER_MSTR_VW,m25_36_net,24,numeric,,,,,
redshift,redshift,public,SAS_CUSTOMER_MSTR_BU_VW,household_id,1,bigint,,FOREIGN KEY,public,SAS_HOUSEHOLD_VW,household_id
redshift,redshift,public,SAS_CUSTOMER_MSTR_BU_VW,customer_id,2,bigint,,PRIMARY KEY,,,
redshift,redshift,public,SAS_CUSTOMER_MSTR_BU_VW,customer_id,2,bigint,,FOREIGN KEY,public,SAS_CUSTOMER_MSTR_VW,customer_id
redshift,redshift,public,SAS_CUSTOMER_MSTR_BU_VW,mstr_customer_id,3,bigint,,FOREIGN KEY,public,SAS_CUSTOMER_MSTR_VW,mstr_customer_id
redshift,redshift,public,SAS_CUSTOMER_MSTR_BU_VW,mstr_household_id,4,bigint,,FOREIGN KEY,public,SAS_HOUSEHOLD_VW,household_id
redshift,redshift,public,SAS_CUSTOMER_MSTR_BU_VW,channels_purchased,5,character varying,80,,,,
redshift,redshift,public,SAS_CUSTOMER_MSTR_BU_VW,business_unit,6,smallint,,PRIMARY KEY,,,
redshift,redshift,public,SAS_CUSTOMER_MSTR_BU_VW,centile_m1,7,smallint,,,,,
redshift,redshift,public,SAS_CUSTOMER_MSTR_BU_VW,centile_m2,8,smallint,,,,,
redshift,redshift,public,SAS_CUSTOMER_MSTR_BU_VW,centile_m3,9,smallint,,,,,
redshift,redshift,public,SAS_CUSTOMER_MSTR_BU_VW,last_purchase_dollar,10,numeric,,,,,
redshift,redshift,public,SAS_CUSTOMER_MSTR_BU_VW,lifetime_dollars,11,numeric,,,,,
redshift,redshift,public,SAS_CUSTOMER_MSTR_BU_VW,lifetime_frequency,12,integer,,,,,
redshift,redshift,public,SAS_CUSTOMER_MSTR_BU_VW,lifetime_net,13,numeric,,,,,
redshift,redshift,public,SAS_CUSTOMER_MSTR_BU_VW,original_purchase_date,14,date,,,,,
redshift,redshift,public,SAS_CUSTOMER_MSTR_BU_VW,primary_sa,15,integer,,,,,
redshift,redshift,public,SAS_CUSTOMER_MSTR_BU_VW,store_of_preference,16,integer,,,,,
redshift,redshift,public,SAS_CUSTOMER_MSTR_BU_VW,recency_activity_date,17,date,,,,,
redshift,redshift,public,SAS_CUSTOMER_MSTR_BU_VW,recency_purchase_date,18,date,,,,,
redshift,redshift,public,SAS_CUSTOMER_MSTR_BU_VW,m0_12_net,19,numeric,,,,,
redshift,redshift,public,SAS_CUSTOMER_MSTR_BU_VW,m13_24_net,20,numeric,,,,,
redshift,redshift,public,SAS_CUSTOMER_MSTR_BU_VW,m25_36_net,21,numeric,,,,,
redshift,redshift,public,SAS_HOUSEHOLD_VW,household_id,1,bigint,,PRIMARY KEY,,,
redshift,redshift,public,SAS_HOUSEHOLD_VW,customer_id,2,bigint,,FOREIGN KEY,public,SAS_CUSTOMER_MSTR_VW,customer_id
redshift,redshift,public,SAS_HOUSEHOLD_VW,birth_mmdd,3,smallint,,,,,
redshift,redshift,public,SAS_HOUSEHOLD_VW,bu_purchased,4,character varying,60,,,,
redshift,redshift,public,SAS_HOUSEHOLD_VW,channels_purchased,5,character varying,20,,,,
redshift,redshift,public,SAS_HOUSEHOLD_VW,country_code,6,smallint,,,,,
redshift,redshift,public,SAS_HOUSEHOLD_VW,centile_m1,7,smallint,,,,,
redshift,redshift,public,SAS_HOUSEHOLD_VW,centile_m2,8,smallint,,,,,
redshift,redshift,public,SAS_HOUSEHOLD_VW,centile_m3,9,smallint,,,,,
redshift,redshift,public,SAS_HOUSEHOLD_VW,lifetime_dollars,10,numeric,,,,,
redshift,redshift,public,SAS_HOUSEHOLD_VW,lifetime_frequency,11,integer,,,,,
